licensed-aerodrome	name
P789	ANDREWSFIELD
No.P792	BARRA
UK(N)EGSM-001	BECCLES
P901	BEDFORD
P903	BLACKPOOL
UKNEGCK-001	CAERNARFON
P808	CAMPBELTOWN
P855	CARLISLE
P781	CHICHESTER (GOODWOOD)
P891	COLL
P892	COLONSAY
P851	COMPTON ABBAS
P902	COVENTRY
P803	CRANFIELD
P827	CUMBERNAULD
P646	DENHAM
P785	DERBY
P888	DUNDEE
P675	DUNKESWELL
P897	DUXFORD
P860	EARLS COLNE
P573	EDAY
P486	ELSTREE
P875	ENNISKILLEN / ST ANGELO
P610	FAIR ISLE
P904	FAIROAKS
P856	FENLAND
P772	GLOUCESTERSHIRE
P595	HAVERFORDWEST
P704	ISLAY
P863	KEMBLE
P705	KIRKWALL
P568	LAND’S END
P838	LASHENDEN (HEADCORN)
UK(N)EGHF-002	LEE-ON-SOLENT
UKNEGMC-002	LEEDS EAST
P839	LEEDS HELIPORT
P720	LEICESTER
P858	LYDD
P886	MANCHESTER BARTON
P601	NETHERTHORPE
P659	NEWTOWNARDS
P538	NORTH RONALDSAY
P496	NORTHAMPTON (SYWELL)
P491	NOTTINGHAM CITY
P890	OBAN
P907	OLD BUCKENHAM
UKNEGLS-001	OLD SARUM
P542	PAPA WESTRAY
P836	PEMBREY WEST WALES AIRPORT
P823	PERTH
P861	PETERBOROUGH CONINGTON
P421	REDHILL
P783	RETFORD (GAMSTON)
P846	ROCHESTER
P541	SANDAY
UKEGCF-001	SANDTOFT
P777	SCATSTA
P535	SHERBURN-IN-ELMET
P779	SHOBDON
P906	SHOREHAM
P641	SLEAP
672	ST MARY'S
P472	STAPLEFORD
P708	STORNOWAY
P540	STRONSAY
P709	SUMBURGH
P867	SWANSEA
P869	THE LONDON HELIPORT
P544	THRUXTON
P707	TIREE
P881	WALNEY
P748	WARTON
P681	WELLESBOURNE MOUNTFORD
P865	WELSHPOOL
P859	WEST WALES
P539	WESTRAY
P773	WHITE WALTHAM
UKEGNW-001	WICKENBY
P872	WOLVERHAMPTON HALFPENNY GREEN
P523	WYCOMBE AIR PARK (BOOKER)
UKNEGHG-001	YEOVIL WESTLAND
